"Story","Title","Result","Date","Stability","Duration (s)"
"Cdas","Cdas - Incompleto","ERROR","2020-03-26T22:34:19.981-05:00[America/Bogota]","0.0","829.59"
"Cdas","Cdas - Excepcion","FAILURE","2020-03-26T22:48:09.69-05:00[America/Bogota]","0.0","1201.54"
"Originacion","Tesoreria - Regresar el credito desde tesoreria","FAILURE","2020-03-26T13:05:58.788-05:00[America/Bogota]","0.0","44.54"
"Originacion","Incorporacion - Aprobar el credito desde incorporacion","ERROR","2020-03-26T19:31:22.28-05:00[America/Bogota]","0.0","299.64"
