"Story","Title","Result","Date","Stability","Duration (s)"
"Liquidador de comisiones Finsonet","Liquidador de comisiones - Global Venta Nueva","SUCCESS","2020-03-26T15:19:10.289-05:00[America/Bogota]","0.0","64.09"
"Liquidador de comisiones Finsonet","Liquidador de comisiones - Global Venta Liberada","SUCCESS","2020-03-26T15:20:14.378-05:00[America/Bogota]","0.0","56.77"
