"Story","Title","Result","Date","Stability","Duration (s)"
"Reportes de venta Finsonet","Reporte de venta - Antecartera","SUCCESS","2020-03-26T13:02:41.181-05:00[America/Bogota]","0.0","45.73"
"Reportes de venta Finsonet","Reporte de venta - Originacion","SUCCESS","2020-03-26T13:03:26.917-05:00[America/Bogota]","0.0","48.12"
"Reportes de venta Finsonet","Reporte de venta - Venta Nueva","SUCCESS","2020-03-26T13:04:15.039-05:00[America/Bogota]","0.0","52.51"
"Reportes de venta Finsonet","Reporte de venta - Venta Liberada","SUCCESS","2020-03-26T13:05:07.553-05:00[America/Bogota]","0.0","50.69"
